,district,home_size,home_price
733,الرمال,375,1700000
734,النرجس,533,5200000
735,طويق,300,1200000
736,طويق,300,1050000
737,طويق,200,900000
738,اليرموك,200,1540000
739,طويق,300,1150000
740,اليرموك,430,2500000
741,المونسية,300,2200000
742,طويق,400,1000000
743,البيضاء,325,1175000
744,العزيزية,360,1300000
745,بدر,348,1100000
746,طويق,200,970000
747,الجنادرية,271,1400000
748,الرفيعة,1800,15000000
749,لبن,200,1300000
750,عكاظ,300,990000
751,نمار,450,1900000
752,البيضاء,335,700000
753,المهدية,360,1350000
754,النرجس,250,2100000
755,الغربية,200,990000
756,طويق,270,1200000
757,الرمال,200,1200000
758,طيبة,267,890000
759,طويق,200,990000
760,العارض,336,2700000
761,طويق,300,1180000
762,البديعة,1500,2500000
763,الرمال,280,1700000
764,بدر,300,1100000
765,لبن,400,1280000
766,الحزم,200,860000
767,طويق,300,1320000
768,النرجس,225,1850000
769,نمار,360,1750000
770,لبن,200,1300000
771,الملقا,405,4500000
772,طويق,480,1550000
773,الاندلس,300,2300000
774,بدر,247,910000
775,الرمال,302,1800000
776,المعيزيلة,221,1350000
777,الملقا,414,4500000
778,طويق,300,1250000
779,عكاظ,412,1230000
780,طويق,360,1080000
781,الرمال,330,1400000
782,الرمال,300,1200000
783,طيبة,250,880000
784,الرمال,240,1480000
785,طويق,440,1300000
786,الدولي,342,1400000
787,الوسطى,200,980000
788,بدر,360,1300000
789,طويق,300,1150000
790,طويق,250,1250000
791,العارض,250,2000000
792,الرفيعة,1800,15000000
793,طويق,300,1220000
794,لبن,540,2000000
795,طويق,200,955000
796,الملقا,875,5500000
797,طويق,200,1000000
798,الملقا,1050,13000000
799,طويق,250,1100000
800,الرمال,240,1130000
801,بدر,407,970000
802,المهدية,270,1400000
803,طويق,400,1200000
804,طويق,250,1250000
805,طويق,375,1100000
806,المونسية,312,2050000
807,الشفا,300,1000000
808,طويق,200,950000
809,المونسية,358,2100000
810,طويق,300,1170000
811,الغربي,200,1000000
812,طويق,200,1050000
813,طويق,300,1250000
814,الملقا,405,4500000
815,الرمال,300,1350000
816,الياسمين,360,2400000
817,النرجس,325,3200000
818,النرجس,219,2600000
819,الحزم,300,1250000
820,العزيزية,500,900000
821,طويق,375,1600000
822,طويق,250,1000000
823,طويق,200,1030000
824,الرمال,300,1150000
825,طويق,300,1500000
826,ديراب,420,1450000
827,طويق,289,1250000
828,طويق,375,1050000
829,النرجس,375,2700000
830,طويق,360,1500000
831,طويق,300,1200000
832,الملقا,700,6800000
833,بدر,247,820000
834,الحزم,312,1200000
835,المهدية,450,1500000
836,لبن,200,1300000
837,الرفيعة,1800,15000000
838,طويق,300,1140000
839,النرجس,630,3200000
840,طويق,300,1150000
841,طويق,360,950000
842,الغربي,450,800000
843,الحزم,281,1150000
844,طويق,200,1280000
845,الجنادرية,300,1350000
846,الرمال,300,1270000
847,قرطبة,433,3780000
848,طويق,360,1300000
849,عكاظ,324,1100000
850,طويق,260,1200000
851,المهدية,300,1700000
852,العزيزية,250,1050000
853,الرمال,270,1500000
854,طويق,300,1400000
855,المنار,312,1500000
856,اليرموك,250,1700000
857,طويق,220,1000000
858,الملقا,405,4500000
859,الرفيعة,1800,15000000
860,الرمال,222,1250000
861,غرناطة,840,3050000
862,الواحة,500,3200000
863,طويق,200,950000
864,المونسية,300,2150000
865,المونسية,300,1900000
866,الرمال,332,1450000
867,الرمال,234,1100000
868,بدر,290,940000
869,طويق,260,1200000
870,المونسية,455,2350000
871,البيضاء,360,1250000
872,لبن,450,1300000
873,المهدية,300,1900000
874,بدر,230,850000
875,الرمال,254,1250000
876,طويق,250,1200000
877,الشرق,312,1450000
878,طويق,200,930000
879,طويق,360,1100000
880,الرمال,300,1350000
881,لبن,200,1300000
882,طويق,240,1050000
883,القادسية,360,1800000
884,طويق,250,1050000
885,لبن,450,1380000
886,المهدية,200,1400000
887,بدر,300,970000
888,عكاظ,300,1050000
889,طيبة,254,980000
890,المنصورية,375,1200000
891,الرمال,300,1400000
892,الندى,375,3600000
893,المونسية,277,1950000
894,طويق,260,1200000
895,عكاظ,304,1050000
896,الندوة,600,2100000
897,المهدية,200,1250000
898,طويق,375,1450000
899,طويق,375,1600000
900,الشفا,312,1180000
901,طويق,270,950000
902,الرمال,300,1350000
903,لبن,200,1300000
904,عكاظ,332,1300000
905,المهدية,340,1750000
906,الرمال,258,1160000
907,طويق,300,1200000
908,عكاظ,327,1090000
909,المونسية,200,1650000
910,قرطبة,420,3100000
911,الوسطى,400,650000
912,عكاظ,300,1050000
913,الشرق,360,1500000
914,طويق,300,1200000
915,النرجس,370,2700000
916,القيروان,360,3500000
917,نمار,270,1270000
918,نمار,468,1100000
919,العارض,420,3300000
920,لبن,200,1070000
921,الندوة,600,1700000
922,الرمال,300,1380000
923,النهضة,450,1500000
924,طويق,300,1220000
925,الرفيعة,1800,15000000
926,المونسية,277,2000000
927,بدر,420,1330000
928,المونسية,420,3150000
929,المهدية,200,1300000
930,العارض,258,2550000
931,طويق,200,960000
932,النرجس,500,5500000
933,الملقا,425,4600000
934,العارض,360,2500000
935,لبن,380,2500000
936,الجنادرية,300,1450000
937,الاندلس,645,2550000
938,لبن,200,1200000
939,طيبة,230,830000
940,البيضاء,250,1050000
941,القدس,360,2900000
942,بدر,262,880000
943,عكاظ,300,1000000
944,طويق,375,1250000
945,النرجس,325,2750000
946,الرمال,300,1350000
947,الملقا,405,4500000
948,الزهرة,250,1280000
949,العزيزية,250,870000
950,المروة,540,1500000
951,الياسمين,450,4500000
952,نمار,438,900000
953,الرمال,320,1700000
954,بدر,360,1260000
955,العزيزية,375,1230000
956,الحمراء,1127,5500000
957,طويق,440,1300000
958,طويق,370,1120000
959,الرمال,290,1350000
960,قرطبة,440,4000000
961,المونسية,300,2000000
962,ديراب,375,950000
963,الرمال,444,1700000
964,عكاظ,350,1100000
965,البيضاء,220,820000
966,الرمال,320,1650000
967,لبن,450,2800000
968,طويق,300,1220000
969,لبن,200,1300000
970,الرمال,300,1100000
971,طويق,250,1050000
972,طويق,240,1000000
973,البيضاء,375,1250000
974,طويق,240,1050000
975,الرحمانية,450,5500000
976,طويق,300,1180000
977,الغربي,325,1900000
